"Blooket
Import Template",,,,,,,,,,,,,,,,,,,,,,,,,
Question #,Question Text,Answer 1,Answer 2,"Answer 3
(Optional)","Answer 4
(Optional)","Time Limit (sec)
(Max: 300 seconds)","Correct Answer(s)
(Only include Answer #)",,,,,,,,,,,,,,,,,,
1,"A distribution has a long right tail. Select all that apply.",Mean > median,Left-skewed,Right-skewed,50th percentile > mean,30,"1,3",,,,,,,,,,,,,,,,,,
2,"For n = 91 ordered values, what position is the median?",45th,46th,50th,Average of 45th and 46th,25,2,,,,,,,,,,,,,,,,,,
3,"A histogram shows most counts between 10-20, with a few near 30. What is the shape?",Symmetric,Right-skewed,Left-skewed,,25,2,,,,,,,,,,,,,,,,,,
4,"Which measures are resistant to outliers? Select all that apply.",Mean,Median,IQR,Standard deviation,30,"2,3",,,,,,,,,,,,,,,,,,
5,"In a race (lower is better), Clay's time has z = +1.6. What does this mean?",1.6 SD slower than average,1.6 SD faster than average,~95% were slower than Clay,Time below the mean,30,1,,,,,,,,,,,,,,,,,,
6,"About what proportion of a normal distribution is less than z = -1?",~16%,~32%,~50%,~84%,25,1,,,,,,,,,,,,,,,,,,
7,"About what proportion of a normal distribution is greater than z = +1?",~16%,~32%,~68%,~84%,25,1,,,,,,,,,,,,,,,,,,
8,"About what percent of a normal distribution is within 2 SD of the mean?",68%,95%,97.5%,99.7%,25,2,,,,,,,,,,,,,,,,,,
9,"Two normal models share the same mean; σA < σB. Select all that apply.",Model B is more spread out,Model B has the larger mean,μ ± 2σ range is wider for Model B,Variability is identical,30,"1,3",,,,,,,,,,,,,,,,,,
10,"Properties of a normal distribution. Select all that apply.",Symmetric and unimodal,Mean = median,Always right-skewed,Tails end abruptly,30,"1,2",,,,,,,,,,,,,,,,,,
11,"The 70th percentile means... Select all that apply.",Taller than ~70% of the group,70% are above this value,30% are below this value,~30% are above this value,30,"1,4",,,,,,,,,,,,,,,,,,
12,"When is a normal model reasonable? Select all that apply.",Roughly symmetric with no strong outliers,Strongly skewed with clear outliers,n ≥ 30 guarantees normal data,Unimodal and approximately symmetric,30,"1,4",,,,,,,,,,,,,,,,,,
13,"Two classes have the same mean. SD(A)=5, SD(B)=10. Select all that apply.",Class B is more variable,~95% of Class B within mean ± 5,~95% of Class A within mean ± 10,Same spread,30,"1,3",,,,,,,,,,,,,,,,,,
14,"What is the best 'typical value' for a right-skewed distribution?",Mean,Median,Mode,,25,2,,,,,,,,,,,,,,,,,,
15,"Normal(μ=50, σ=10). Select all that apply.",~68% between 40 and 60,~95% between 35 and 65,~97.5% below 70,~34% above 60,30,"1,3",,,,,,,,,,,,,,,,,,
16,"Normal(μ=170, σ=8). What is the z-score for x=186?",1.6,2.0,0.8,-2.0,30,2,,,,,,,,,,,,,,,,,,
17,"Normal(μ=80, σ=10). If z=+1.2, what is x?",92,68,78,88,30,1,,,,,,,,,,,,,,,,,,
18,"Which is closest to P(Z > 1.96)?",2.5%,5%,16%,32%,25,1,,,,,,,,,,,,,,,,,,
19,"Which z-score is nearest the 90th percentile?",-1.00,0.00,+1.28,+1.96,30,3,,,,,,,,,,,,,,,,,,
20,"For a single categorical variable, what are appropriate displays? Select all that apply.",Bar chart,Pie chart,Histogram,Boxplot,30,"1,2",,,,,,,,,,,,,,,,,,
21,"For a single quantitative variable, what are appropriate displays? Select all that apply.",Histogram,Boxplot,Segmented bar chart,Two-way table,30,"1,2",,,,,,,,,,,,,,,,,,
22,"For comparing two groups with outliers, what are the best displays? Select all that apply.",Side-by-side boxplots,Overlaid histograms with same bins,Pie charts,Segmented bar chart,30,"1,2",,,,,,,,,,,,,,,,,,
23,"Changing histogram bin width (n fixed). Select all that apply.",Narrower bins show more detail/jaggedness,Wider bins smooth the shape,Bin width changes the data values,Bin width changes sample size,30,"1,2",,,,,,,,,,,,,,,,,,
24,"Properties of z-scores. Select all that apply.",Unitless,Comparable across different measurement units,Always between -3 and +3,Equal to percentile,30,"1,2",,,,,,,,,,,,,,,,,,
25,"Add constant c to every value. What changes?",Mean shifts by c; SD unchanged,Mean unchanged; SD shifts by c,Both mean and SD shift by c,Neither changes,30,1,,,,,,,,,,,,,,,,,,
26,"Multiply every value by k>0. Select all that apply.",Mean multiplies by k,SD multiplies by k,IQR multiplies by k,Median stays the same,30,"1,2,3",,,,,,,,,,,,,,,,,,
27,"Which are population parameters? Select all that apply.",μ,σ,x̄,s,30,"1,2",,,,,,,,,,,,,,,,,,
28,"Which statements are true? Select all that apply.",x̄ estimates μ,s estimates σ,μ describes a sample,s describes a population,30,"1,2",,,,,,,,,,,,,,,,,,
29,"Which are quantitative variables? Select all that apply.",Shoe size,Student ID,Minutes studied,Favorite subject,30,"1,3",,,,,,,,,,,,,,,,,,
30,"Which are categorical variables? Select all that apply.",ZIP code,Favorite subject,z-score,Test score,30,"1,2",,,,,,,,,,,,,,,,,,
31,"The 95th percentile (heights) means... Select all that apply.",Taller than about 95% of the group,About 5% are taller,95% are shorter or equal,95% are taller,30,"1,2,3",,,,,,,,,,,,,,,,,,
32,"For comparing two right-skewed groups, what are the best summaries?",Mean and SD,Median and IQR,Mean and IQR,Median and SD,30,2,,,,,,,,,,,,,,,,,,
33,"Normal(μ=50, σ=10). About what is the 75th percentile?",55,57,60,65,30,2,,,,,,,,,,,,,,,,,,
34,"What can you read directly from a frequency histogram? Select all that apply.",Approximate count in a bin/range,Exact median,Exact individual values,Rough shape (e.g. skew),30,"1,4",,,,,,,,,,,,,,,,,,
