id,username,question_id,answer_value,timestamp,created_at,updated_at
1,test_user,test_q1,A,1759209161956,2025-09-30 04:20:16.078989+00,2025-10-08 01:20:30.542186+00
4,test_user,test_q2,C,1759206226635,2025-09-30 04:24:14.43888+00,2025-10-08 01:20:30.627642+00
5,teacher_man,U1-L3-Q01,A,1759206257769,2025-09-30 04:24:45.77927+00,2025-10-08 01:21:09.960331+00
7,Apricot_Fox,U1-L3-Q01,E,1757684456314,2025-09-30 04:28:49.901448+00,2025-10-08 01:20:22.387777+00
8,Apricot_Fox,U1-L3-Q02,B,1757684459618,2025-09-30 04:28:50.009391+00,2025-10-08 01:20:22.290215+00
9,Apricot_Fox,U1-L3-Q03,E,1757684465748,2025-09-30 04:28:50.136452+00,2025-10-08 01:20:22.190877+00
10,Apricot_Fox,U1-L4-Q01,C,1757943008325,2025-09-30 04:28:50.258984+00,2025-10-08 01:20:22.093644+00
11,Apricot_Fox,U1-L4-Q02,D,1757943011671,2025-09-30 04:28:50.427065+00,2025-10-08 01:20:22.001686+00
12,Apricot_Fox,U1-L4-Q03,A,1757943013583,2025-09-30 04:28:50.528971+00,2025-10-08 01:20:21.895482+00
13,Apricot_Fox,U1-L4-Q04,B,1757943015483,2025-09-30 04:28:50.633976+00,2025-10-08 01:20:21.790797+00
14,Apricot_Fox,U1-L4-Q05,A,1757943017972,2025-09-30 04:28:50.738449+00,2025-10-08 01:20:21.672229+00
15,Apricot_Fox,U1-L4-Q06,D,1757943020140,2025-09-30 04:28:50.856853+00,2025-10-08 01:20:21.586765+00
16,Apricot_Dog,U1-L3-Q01,E,1757684012225,2025-09-30 04:28:58.981984+00,2025-10-08 01:20:49.603188+00
17,Apricot_Dog,U1-L3-Q02,B,1757684150046,2025-09-30 04:28:59.101241+00,2025-10-08 01:20:49.513719+00
18,Apricot_Dog,U1-L3-Q03,E,1757684259295,2025-09-30 04:28:59.231558+00,2025-10-08 01:20:49.424424+00
19,Apricot_Dog,U1-L4-Q01,C,1757942032798,2025-09-30 04:28:59.349411+00,2025-10-08 01:20:49.314932+00
